LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,CertificateNumber,LicenseStatus,TradeName,CorpName,Long,Lat,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,CityStateZip
AE,AE,5,7/1/2017,6/30/2018,2017,1242,Renewed,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Adult,,,3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
LBD7,BWL,355,5/1/2017,4/30/2018,2017,1062,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,345,5/1/2016,4/30/2017,2016,985,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
AE,AE,2,7/1/2013,6/30/2014,2013,1273,Renewed,CIRCUS BAR,"SILVERLUD, INC.",-76.609161,39.289784,Adult,,,427 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
AE,AE,23,7/1/2017,6/30/2018,2017,1264,Renewed,NEW RITZ,"NEW RITZ, INC.",-76.593571,39.285358,Adult,,,504 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
AE,AE,5,7/1/2013,6/30/2014,2013,1276,Renewed,NEW RITZ,"NEW RITZ, INC.",-76.593571,39.285358,Adult,,,504 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
AE,AE,2,7/1/2013,6/30/2014,2013,1273,Renewed,CIRCUS BAR,"SILVERLUD, INC.",-76.609161,39.289784,Adult,,,427 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,345,5/1/2016,4/30/2017,2016,985,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,357,5/1/2013,4/30/2014,2013,957,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,355,5/1/2017,4/30/2018,2017,1062,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,256,5/1/2013,4/30/2014,2013,706,Renewed,BACKSTRETCH,B.M.H. CORPORATION,,,Tavern,7 days,"Beer, Wine, & Liquor",1301 OLD COLDSPRING LANE WEST,21209,"Baltimore, MD 21209"
AE,AE,1,7/1/2013,6/30/2014,2013,1272,Renewed,SCORES BALTIMORE,"SCMD, LLC",-76.610414,39.297618,Adult,,,615 FALLSWAY,21202,"Baltimore, MD 21202"
LBD7,BWL,16,5/1/2016,4/30/2017,2016,48,Renewed,BACKSTRETCH,B.M.H. CORPORATION,,,Tavern,7 days,"Beer, Wine, & Liquor",1301 OLD COLDSPRING LANE WEST,21209,"Baltimore, MD 21209"
AE,AE,17,7/1/2015,6/30/2016,2015,1288,Renewed,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Adult,,,3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
AE,AE,17,7/1/2015,6/30/2016,2015,1288,Renewed,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Adult,,,3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
LBD7,BWL,144,5/1/2017,4/30/2018,2017,351,Renewed,BACKSTRETCH,B.M.H. CORPORATION,,,Tavern,7 days,"Beer, Wine, & Liquor",1301 OLD COLDSPRING LANE WEST,21209,"Baltimore, MD 21209"
LBD7,BWL,355,5/1/2017,4/30/2018,2017,1062,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
AE,AE,27,7/1/2016,6/30/2017,2016,1306,Renewed,NEW RITZ,"NEW RITZ, INC.",-76.593571,39.285358,Adult,,,504 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,357,5/1/2013,4/30/2014,2013,957,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
AE,AE,17,7/1/2015,6/30/2016,2015,1288,Renewed,DESIRE,"DESIRE,LLC",-76.564992,39.296721,Adult,,,3821-23 PULASKI HIGHWAY,21224,"Baltimore, MD 21224"
LBD7,BWL,345,5/1/2016,4/30/2017,2016,985,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,357,5/1/2013,4/30/2014,2013,957,Renewed,BLUE CARIBBEAN BAR AND LOUNGE,"ROYAL BLUE CARIBBEAN, INC.",,,Tavern,7 days,"Beer, Wine, & Liquor",5402A&B PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
AE,AE,31,7/1/2013,6/30/2014,2013,1321,,CLUB BUNNS,"MOMBEE TLC, INC.",-76.624097,39.291376,Adult,,,606-08 LEXINGTON STREET WEST,21201,"Baltimore, MD 21201"
LBD7,BWL,128,5/1/2013,4/30/2014,2013,346,Renewed,BMORE LOUNGE,"5616 BEL, INC.",-76.546891,39.341374,Tavern,7 days,"Beer, Wine, & Liquor",5616 BELAIR ROAD,21206,"Baltimore, MD 21206"
LBD7,BWL,223,5/1/2013,4/30/2014,2013,617,Renewed,TODD CONNER'S,"HAPPY DOG, INC.",-76.593496,39.283398,Tavern,7 days,"Beer, Wine, & Liquor",700 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,28,5/1/2013,4/30/2014,2013,64,Renewed,BUSTERS PUB,"BUSTER'S, INC.",-76.570904,39.291235,Tavern,7 days,"Beer, Wine, & Liquor",3208 LOMBARD STREET EAST,21224,"Baltimore, MD 21224"
LBD7,BWL,215,5/1/2013,4/30/2014,2013,595,Renewed,MAX'S ON BROADWAY,BETOR CORPORATION,-76.592927,39.28258,Tavern,7 days,"Beer, Wine, & Liquor",731-37 BROADWAY SOUTH,21231,"Baltimore, MD 21231"
LBD7,BWL,25,5/1/2013,4/30/2014,2013,50,Renewed,PENN LIQUOR,"HYUN'S LIQUORS, INC.",-76.607531,39.302356,Tavern,7 days,"Beer, Wine, & Liquor",1041 GREENMOUNT AVENUE,21202,"Baltimore, MD 21202"
LBD7,BWL,16,5/1/2013,4/30/2014,2013,32,Renewed,MELBA'S PLACE,N/A,-76.609416,39.326928,Tavern,7 days,"Beer, Wine, & Liquor",3126 GREENMOUNT AVENUE,21218,"Baltimore, MD 21218"
LBD7,BWL,82,5/1/2013,4/30/2014,2013,225,Renewed,FIELDER'S TAVERN,"FIELDER'S, INC.",-76.631612,39.280213,Tavern,7 days,"Beer, Wine, & Liquor",1184-86 NANTICOKE STREET,21230,"Baltimore, MD 21230"
LBD7,BWL,44,5/1/2013,4/30/2014,2013,108,Renewed,GARDEN BAR,"GARDEN BAR, INC.",-76.559486,39.306941,Tavern,7 days,"Beer, Wine, & Liquor",4809-11 ERDMAN AVENUE,21205,"Baltimore, MD 21205"
LBD7,BWL,10,12/20/2013,4/30/2014,2013,T0024,Transferred,J & J  BAR & LIQUORS,"WALFAR, INC.",-76.645033,39.283159,Tavern,7 days,"Beer, Wine, & Liquor",1801 RAMSAY STREET,21223,"Baltimore, MD 21223"
LBD7,BWL,279,5/1/2013,4/30/2014,2013,762,Renewed,PLAYBOOK,"WEIDOG, LLC",-76.534323,39.281096,Tavern,7 days,"Beer, Wine, & Liquor",6700 GERMAN HILL ROAD,21222,"Baltimore, MD 21222"
LBD7,BWL,62,5/1/2016,4/30/2017,2016,184,Renewed,WAVERLY TAVERN,"BS&R, LLC",-76.607523,39.335626,Tavern,7 days,"Beer, Wine, & Liquor",3801 OLD YORK ROAD,21218,"Baltimore, MD 21218"
LBD7,BWL,104,12/6/2013,4/30/2014,2013,TT0291,Transferred,SPORTMAN SPOT,N/A,-76.558025,39.286626,Tavern,7 days,"Beer, Wine, & Liquor",501 LEHIGH STREET SOUTH,21224,"Baltimore, MD 21224"
LBD7,BWL,30,5/1/2013,4/30/2014,2013,68,Renewed,TONY'S PLACE,"G & X, INC.",-76.560657,39.299693,Tavern,7 days,"Beer, Wine, & Liquor",4215 MONUMENT STREET EAST,21205,"Baltimore, MD 21205"
