Date,,,Address,Type,Indicator,Weapon,,,,Lat,Long,,,,,Tract
2/1/2018,20:30:00,2A,2500 BLK MOSHER ST,RAPE,I,OTHER,723,WESTERN,BRIDGEVIEW/GREENLAWN,-76.65665385,39.29957022,,ALLEY,Central,1,0
1/27/2018,23:40:00,3AF,100 N EAST AVE,ROBBERY - STREET,O,FIREARM,,,,0,0,,STREET,,1,0
1/24/2018,18:50:00,3AF,0 SOUTH ST,ROBBERY - STREET,I,FIREARM,,,,,,,STREET,,1,0
1/9/2018,09:30:00,3B,2300 BLK N CHARLES ST,ROBBERY - STREET,I,NA,,,,,,,ALLEY,,1,0
1/8/2018,14:42:00,3AK,2500 BLK GWYNNS FALLS PY,ROBBERY - STREET,Outside,KNIFE,,,,,,,SHOPPING MALLS/CNTR,,1,0
12/26/2017,10:10:00,4B,,AGG. ASSAULT,I,KNIFE,,,,,,,,,1,0
12/24/2017,21:00:00,4B,600 E PATAPSCO AVE,AGG. ASSAULT,,KNIFE,,,,,,,,,1,0
12/23/2017,00:00:00,3AJF,3600 WINNER AVE,ROBBERY - CARJACKING,,FIREARM,,,,,,,STREET,,1,0
12/18/2017,21:25:00,3B,,ROBBERY - STREET,I,NA,,,,,,,,,1,0
12/11/2017,20:30:00,3AK,100 N EAST AVE,ROBBERY - STREET,O,KNIFE,,,,0,0,,STREET,,1,0
12/11/2017,20:30:00,4C,100 N EAST AVE,AGG. ASSAULT,I,OTHER,,,,0,0,,STREET,,1,0
12/9/2017,16:45:00,3BJ,2600 GWYNNS FALLS PKWY,ROBBERY - CARJACKING,O,NA,,,,,,,GAS STATION,,1,0
11/25/2017,15:47:00,4B,9000 BENTALOU ST,AGG. ASSAULT,O,KNIFE,,,,,,,STREET,,1,0
11/22/2017,05:10:00,3AF,EXETER ST,ROBBERY - STREET,I,FIREARM,,,,,,,STREET,,1,0
11/16/2017,15:30:00,3B,100 5 HALF ST,ROBBERY - STREET,I,NA,,,,,,,STREET,,1,0
11/6/2017,09:55:00,3AJF,600 LAURENS ST,ROBBERY - CARJACKING,O,FIREARM,,,,,,,STREET,,1,0
11/4/2017,00:40:00,2A,,RAPE,I,OTHER,,,,,,,OTHER - INSIDE,,1,0
11/1/2017,02:00:00,4C,0 CUSTOM HOUSE AVE,AGG. ASSAULT,O,OTHER,,,,,,,STREET,,1,0
